Row Id,Zipcode,homeowner_dummy,gender_dummy,LAST_GIFT_amount,totalmonths_from_last_gift,AVG_for_past_GIFTs,Donated_in_previous_event,gift_ammount_in_prev_event
1,97402,1,1,5,29,4.857142857,Yes,5
2,97401,1,0,12,34,9.4,Yes,10
3,97404,0,1,5,29,4.285714286,Yes,5
4,97404,1,0,8,30,7.08,No,0
5,97402,1,0,11,30,7.666666667,No,0
6,97402,1,1,10,31,7.3,Yes,8
7,97404,1,1,20,37,10.69230769,Yes,10
8,97401,1,0,7,35,9.576923077,Yes,20
9,97403,1,0,10,37,9,Yes,5
10,97401,1,1,16,30,13,No,0
11,97404,1,1,7,31,6,Yes,7
12,97401,1,1,3,32,3.659090909,Yes,3
13,97403,1,1,3,30,3.652173913,No,0
14,97401,0,0,10,32,8,Yes,10
15,97404,0,0,20,37,16.66666667,No,0
16,97403,1,1,7,33,4.344827586,Yes,11
17,97404,1,0,10,30,9.090909091,Yes,10
18,97401,1,0,32,33,14.55555556,No,0
19,97401,1,0,42,37,31.75,Yes,16.87
20,97404,0,1,10,28,13.6,Yes,23
21,97403,1,0,5,31,3.62962963,Yes,4
22,97404,1,1,5,18,8.833333333,Yes,5
23,97404,1,1,15,34,12.5,No,0
24,97403,0,1,9,30,6.076923077,No,0
25,97404,1,0,13,17,17.5,Yes,10
26,97403,1,1,20,31,11.9,Yes,20
27,97402,1,1,15,35,15,Yes,15
28,97402,1,0,10,36,10.0625,Yes,10
29,97401,1,1,15,37,8,No,0
30,97401,1,1,15,37,13.46153846,Yes,10
31,97402,0,0,14,37,8.454545455,No,0
32,97404,0,1,20,37,9.444444444,Yes,10
33,97404,1,0,10,32,5.166666667,Yes,5
34,97403,0,1,10,30,3.590909091,No,0
35,97404,1,0,10,31,8.75,No,0
36,97404,1,1,10,31,5.944444444,No,0
37,97401,1,1,5,32,4.722222222,Yes,5
38,97404,1,0,13,34,13,No,0
39,97404,1,1,10,29,5.6,No,0
40,97401,1,0,10,31,10,No,0
41,97402,1,1,2,20,2.260869565,Yes,2
42,97402,1,0,13,30,11.75,No,0
43,97401,0,0,16,37,13,Yes,16
44,97404,1,1,5,31,6,Yes,5
45,97402,1,0,12,31,10.66666667,No,0
46,97403,0,0,11,35,9.727272727,No,0
47,97402,1,0,25,37,12,Yes,25
48,97404,0,0,10,31,6,Yes,7
49,97404,0,0,20,31,14.8,Yes,20
50,97404,1,1,6,34,4.344827586,Yes,4
51,97404,1,0,15,17,13.71428571,Yes,19
52,97404,0,1,5,29,6.5,No,0
53,97404,1,0,13,29,11.71428571,Yes,12
54,97404,1,1,15,34,11.66666667,No,0
