INCOME,AGE,GENDER,HOURS_working,JOB_TYPE,EXPERIECE_in_YEARS
 <=50K,20,1,44, Sales,5
 >50K,31,3,38, Sales,21
 <=50K,24,1,50, Tech-support,6
 >50K,43,1,40, Tech-support,12
 <=50K,30,1,40, Sales,4
 <=50K,29,3,58, Tech-support,5
 <=50K,31,1,40, Sales,6
 >50K,37,2,48, Sales,7
 <=50K,20,3,40, Tech-support,5
 <=50K,24,1,40, Sales,3
 <=50K,28,2,25, Sales,7
 <=50K,56,3,50, Sales,8
 <=50K,55,2,56, Sales,5
 <=50K,37,2,50, Sales,3
 <=50K,20,3,20, Sales,8
 <=50K,27,1,40, Sales,5
 <=50K,70,2,40, Tech-support,7
 >50K,51,2,40, Sales,20
 <=50K,47,3,45, Tech-support,8
 <=50K,41,3,24, Tech-support,3
 <=50K,35,2,40, Sales,5
 <=50K,38,3,50, Sales,6
 <=50K,59,3,40, Sales,6
 <=50K,25,3,40, Tech-support,4
 >50K,57,3,40, Sales,23
 <=50K,21,2,45, Sales,4
 <=50K,27,3,40, Tech-support,5
 <=50K,37,1,60, Sales,6
 <=50K,26,3,40, Sales,8
 <=50K,22,2,15, Sales,5
 <=50K,29,2,40, Tech-support,3
 <=50K,23,3,40, Sales,3
 <=50K,46,1,40, Sales,7
 <=50K,44,1,40, Tech-support,5
 <=50K,20,1,30, Sales,8
 <=50K,20,3,35, Sales,7
 <=50K,24,2,20, Tech-support,6
 >50K,30,2,16, Tech-support,24
 >50K,38,2,60, Sales,17
 <=50K,25,1,40, Sales,5
 <=50K,28,3,40, Sales,7
 <=50K,27,1,50, Sales,6
 >50K,54,3,35, Sales,21
 <=50K,21,2,24, Sales,8
 <=50K,25,1,40, Tech-support,3
 <=50K,32,1,40, Tech-support,8
 <=50K,52,3,55, Sales,3
 <=50K,23,2,20, Sales,6
 >50K,49,1,26, Sales,21
 >50K,36,1,50, Sales,20
 <=50K,35,2,60, Sales,5
 <=50K,20,3,25, Sales,7
 >50K,31,2,40, Tech-support,13
 <=50K,31,2,40, Sales,7
 <=50K,45,2,40, Sales,7
 <=50K,22,2,15, Sales,4
 <=50K,36,2,36, Sales,7
 >50K,42,2,40, Tech-support,11
 >50K,51,2,55, Sales,11
 <=50K,22,2,30, Sales,8
 >50K,43,1,50, Sales,9
 <=50K,54,3,40, Tech-support,6
 >50K,40,2,55, Sales,18
 <=50K,41,1,40, Tech-support,3
 >50K,46,3,35, Tech-support,23
 <=50K,24,2,40, Sales,8
 <=50K,24,1,15, Sales,3
 >50K,38,1,50, Sales,18
 <=50K,47,2,55, Sales,8
 <=50K,53,2,40, Tech-support,4
