age,workclass,occupation,hours-per-week,income
20, Private, Sales,44, <=50K
31, Private, Sales,38, >50K
24, Private, Tech-support,50, <=50K
43, Private, Tech-support,40, >50K
30, Private, Sales,40, <=50K
29, Private, Tech-support,58, <=50K
31, Private, Sales,40, <=50K
37, Private, Sales,48, >50K
20, Private, Tech-support,40, <=50K
24, Private, Sales,40, <=50K
28, Private, Sales,25, <=50K
56, Self-emp-inc, Sales,50, <=50K
55, Private, Sales,56, <=50K
37, Private, Sales,50, <=50K
20, Private, Sales,20, <=50K
27, Private, Sales,40, <=50K
70, Private, Tech-support,40, <=50K
51, Private, Sales,40, >50K
47, Private, Tech-support,45, <=50K
41, Federal-gov, Tech-support,24, <=50K
35, Private, Sales,40, <=50K
38, Private, Sales,50, <=50K
59, Private, Sales,40, <=50K
25, Private, Tech-support,40, <=50K
57, Federal-gov, Sales,40, >50K
21, Private, Sales,45, <=50K
27, Private, Tech-support,40, <=50K
37, Self-emp-inc, Sales,60, <=50K
26, Private, Sales,40, <=50K
22, Private, Sales,15, <=50K
29, Private, Tech-support,40, <=50K
23, Private, Sales,40, <=50K
46, Private, Sales,40, <=50K
44, Private, Tech-support,40, <=50K
20, Private, Sales,30, <=50K
20, Private, Sales,35, <=50K
24, Private, Tech-support,20, <=50K
30, Private, Tech-support,16, >50K
38, Private, Sales,60, >50K
25, Private, Sales,40, <=50K
28, Private, Sales,40, <=50K
27, Private, Sales,50, <=50K
54, Private, Sales,35, >50K
21, Private, Sales,24, <=50K
25, Private, Tech-support,40, <=50K
32, Private, Tech-support,40, <=50K
52, Self-emp-inc, Sales,55, <=50K
23, Private, Sales,20, <=50K
49, Private, Sales,26, >50K
36, Private, Sales,50, >50K
35, Private, Sales,60, <=50K
20, Private, Sales,25, <=50K
31, Private, Tech-support,40, >50K
31, Private, Sales,40, <=50K
45, Private, Sales,40, <=50K
22, Private, Sales,15, <=50K
36, Private, Sales,36, <=50K
42, Private, Tech-support,40, >50K
51, Private, Sales,55, >50K
22, Private, Sales,30, <=50K
43, Private, Sales,50, >50K
54, Private, Tech-support,40, <=50K
40, Private, Sales,55, >50K
41, Self-emp-inc, Tech-support,40, <=50K
46, Private, Tech-support,35, >50K
24, Self-emp-inc, Sales,40, <=50K
24, Private, Sales,15, <=50K
38, Private, Sales,50, >50K
47, Private, Sales,55, <=50K
53, Private, Tech-support,40, <=50K
23, Private, Sales,25, <=50K
22, Private, Sales,42, <=50K
31, Private, Sales,40, >50K
44, Self-emp-inc, Sales,70, >50K
35, Self-emp-inc, Sales,60, >50K
28, Private, Tech-support,35, <=50K
25, Private, Sales,40, <=50K
46, Private, Sales,40, <=50K
26, Private, Sales,50, <=50K
48, Self-emp-inc, Sales,50, <=50K
27, Private, Sales,40, <=50K
24, Private, Tech-support,37, <=50K
20, Private, Sales,50, <=50K
32, Private, Sales,40, <=50K
49, Private, Sales,80, >50K
27, Private, Sales,40, <=50K
22, Private, Sales,50, <=50K
35, Self-emp-inc, Sales,45, >50K
33, Private, Sales,45, >50K
29, Private, Tech-support,40, <=50K
36, Private, Tech-support,40, <=50K
20, Private, Sales,45, <=50K
33, Private, Sales,60, >50K
28, Private, Tech-support,40, <=50K
61, Self-emp-inc, Sales,40, >50K
38, Private, Sales,42, >50K
44, Self-emp-inc, Sales,60, >50K
23, Private, Sales,30, <=50K
46, Private, Sales,40, >50K
71, Private, Tech-support,16, <=50K
31, Private, Tech-support,37, <=50K
51, Private, Sales,40, <=50K
46, Self-emp-inc, Sales,52, <=50K
65, Private, Sales,40, >50K
23, Private, Sales,50, <=50K
27, Private, Tech-support,40, <=50K
31, Private, Sales,90, >50K
32, Private, Sales,48, <=50K
35, Private, Sales,65, <=50K
31, Private, Sales,40, <=50K
29, Private, Sales,50, <=50K
37, Private, Sales,40, <=50K
24, Private, Sales,50, <=50K
52, Private, Sales,60, >50K
18, Private, Sales,16, <=50K
50, Self-emp-inc, Sales,60, >50K
20, Private, Sales,20, <=50K
44, Private, Sales,50, <=50K
38, Private, Sales,40, >50K
35, Private, Sales,45, >50K
38, Private, Sales,48, >50K
26, Private, Tech-support,40, >50K
43, Private, Sales,40, >50K
38, Private, Sales,40, >50K
19, Private, Sales,36, <=50K
19, Private, Sales,30, <=50K
58, Private, Sales,40, <=50K
63, Private, Sales,40, >50K
42, Private, Tech-support,40, >50K
68, Private, Sales,40, <=50K
45, Private, Sales,55, <=50K
47, Private, Sales,70, <=50K
44, Private, Tech-support,18, >50K
